,Date,XAUINR BGN Curncy-Gold Index,INMSM1 Index-India Money Supply M1,PBINBSI Index-Price/Book -India Sensex 30,PEINB30 Index-Price/Earnings Ratio for the Sensex 30 Index,GIND10YR Index-India Govt Bond Generic Bid Yield 10 Year,GIND5YR Index-India Govt Bond Generic Bid Yield 5 Year,GIND4YR Index-India Govt Bond Generic Bid Yield 4 Year,GIND3YR Index-India Govt Bond Generic Bid Yield 3 Year,GIND1YR Index-India Govt Bond Generic Bid Yield 1 Year,INRPYLPD Index-Reserve Bank of India REPO Rate Policy (Daily),BCOPAAA0 Index-Bloomberg FIMMDA India Corporate Bond Curve AAA 10 Year,INFFFIDE Index-India Fiscal Deficit,USDINR Curncy-USDINR Spot Exchange Rate - Price of 1 USD in INR,INMFEQNT Index-India Mutual Fund Net Equity,FIINNET Index-India Net Foreign Equity Investment INR,DXY Curncy-Dollar Index,IRSWO1 Curncy-INR SWAP ONSH OIS 1Y,IRSWO5 Curncy-INR SWAP ONSH OIS 5Y,NIFTY Index-Forward P/E (12M Forward),NSE500 Index-Forward PE for Fiscal Year 3,BSE500 Index-Forward P/E (12M Forward),BSE500 Index-Forward PE for Fiscal Year 3,JBDCINR Index-J.P. Morgan India CPI-Based Real Broad Effective Exchange Rate,INPIINDY Index-india industrial production,INFDTO$Y Index-india monthly fdi,RBIBKRTE Index-RBI interest rate,INMSM3Y Index-INDIA M3 MONEY SUPPLY,INMSM1Y Index-INDIA M1 MONEY SUPPLY,ECOYBINN Index-INDIA TRADE BALANCE,5346629 Index-IMF INDIA PPI (PRODUCER PRICES INDEX),INMORES$ Index-Foreign Reserves India (USD),INBGRIW Index-Rural India Wage,INTXDITA Index-India Tax Collections,MIGININD Index-Migrant Remmitance Inflow,GHDIHDIN Index-India HDI,5349B34 Index-India GNI (Gross National Income),BELTINPG Index-India forecast GDP growth,BSE500 Index-Price Earnings Ratio (P/E),NSE500 Index-Price Earnings Ratio (P/E),BSE500 Index-Price to Book Ratio,NSE500 Index-Price to Book Ratio,NSE500 Index-EBITDA,BSE500 Index-Adjusted Price/Sales ratio,NSE500 Index-Adjusted Price/Sales ratio,NSE500 Index-P/S RATIO,BSE500 Index-P/S RATIO,MXIN000G Index-Price Earnings Ratio (P/E),MXIN000G Index-Price to Book Ratio,MXIN000G Index-P/S RATIO,MXIN000G Index-Dividend Yield (Actuals),MXIN000V Index-Price Earnings Ratio (P/E),MXIN000V Index-Price to Book Ratio,MXIN000V Index-P/S RATIO,MXIN000V Index-Dividend Yield (Actuals),SPBSMIP Index-Price Earnings Ratio (P/E),SPBSMIP Index-Price to Book Ratio,SPBSMIP Index-P/S RATIO,SPBSMIP Index-Dividend Yield (Actuals),SPB25SIP Index-Price Earnings Ratio (P/E),SPB25SIP Index-Price to Book Ratio,SPB25SIP Index-P/S RATIO,SPB25SIP Index-Dividend Yield (Actuals),NSE100 Index-Price Earnings Ratio (P/E),NSE100 Index-Price to Book Ratio,NSE100 Index-P/S RATIO,NSE100 Index-Dividend Yield (Actuals),NIFTY Index-P/S Ratio,NIFTY Index-P/E ratio
7277,2022-03-04,148005.1114,5138178,3.29,23.71,6.814,6.379,6.03,5.853,4.805,4.0,7.1445,378727,76.1675,4211.27,-7498.62,98.648,4.41,5.81,19.1652,16.7712,19.8347,16.6964,106.6839,1.2,190.07,4.25,8.73,11.6,-186.2,107.13,631921,372.52,10494.49,89375,0.633,149941.1,4.7,24.3347,24.4842,3.0166,3.3311,1128.8082,2.4862,2.5115,2.3563,2.3295,34.98,3.9223,3.8762,0.3967,19.6171,3.1128,1.8003,2.1671,33.6869,3.0543,2.2915,1.254,23.3914,2.7728,1.6221,0.9749,23.0749,2.966,2.434,1.2884,2.49,22.8812
7278,2022-03-05,148005.1114,5138178,3.29,23.71,6.814,6.379,6.03,5.853,4.805,4.0,7.1445,378727,76.1675,4211.27,-7498.62,98.648,4.41,5.81,19.1654,16.7713,19.8349,16.6965,106.6839,1.2,190.07,4.25,8.73,11.6,-186.2,107.13,631921,372.52,10494.49,89375,0.633,149941.1,4.7,24.335,24.4845,3.0166,3.3311,1128.8082,2.4862,2.5114,2.3563,2.3295,34.98,3.9223,3.8762,0.3967,19.6171,3.1128,1.8003,2.1671,33.6878,3.0543,2.2915,1.254,23.3938,2.7728,1.6219,0.9749,23.075,2.966,2.434,1.2884,2.49,22.8813
7279,2022-03-06,148005.1114,5138178,3.29,23.71,6.814,6.379,6.03,5.853,4.805,4.0,7.1445,378727,76.1675,4211.27,-7498.62,98.648,4.41,5.81,19.1694,16.7791,19.8385,16.7042,106.6839,1.2,190.07,4.25,8.73,11.6,-186.2,107.13,631921,372.52,10494.49,89375,0.633,149941.1,4.7,24.3363,24.4858,3.0166,3.3311,1128.8082,2.4861,2.5114,2.3562,2.3295,34.98,3.9223,3.8762,0.3967,19.6171,3.1128,1.8003,2.1671,33.6874,3.0543,2.2915,1.254,23.3934,2.7728,1.6219,0.9749,23.0765,2.966,2.4339,1.2884,2.49,22.8829
7280,2022-03-07,152183.5181,5138178,3.2,23.08,6.888,6.45,6.132,5.932,4.851,4.0,7.2193,378727,76.9662,4798.99,-7921.23,99.293,4.55,5.895,18.7148,16.3837,19.3701,16.3032,107.0165,1.2,190.07,4.25,8.73,11.6,-186.2,107.13,631921,372.52,10494.49,89375,0.633,149941.1,4.7,23.748,23.9022,2.9442,3.2523,1128.8082,2.4259,2.4514,2.3,2.273,33.7614,3.7854,3.741,0.411,19.405,3.0797,1.7803,2.1904,32.9302,2.9854,2.2398,1.2829,22.8449,2.7083,1.5841,0.9981,22.5178,2.8947,2.3748,1.3202,2.4309,22.3411
7281,2022-03-08,157695.8157,5138178,3.24,23.36,6.895,6.465,6.132,5.95,4.863,4.0,7.229,378727,76.9125,5235.23,-7296.41,99.062,4.56,5.93,18.8995,16.5658,19.5854,16.4841,106.511,1.2,190.07,4.25,8.73,11.6,-186.2,107.13,631921,372.52,10494.49,89375,0.633,149941.1,4.7,24.0062,24.1634,2.9749,3.2853,1128.8082,2.4515,2.4774,2.3244,2.297,34.114,3.8249,3.7773,0.4068,19.6274,3.1145,1.8012,2.1659,33.4014,3.0289,2.2726,1.2645,23.1656,2.7468,1.6068,0.9861,22.7517,2.9244,2.3995,1.3068,2.4543,22.5559
7282,2022-03-09,152578.0182,5138178,3.35,24.15,6.848,6.431,6.085,5.932,4.884,4.0,7.1728,378727,76.5638,1530.39,-4476.17,97.968,4.54,5.92,19.2957,16.8955,19.9805,16.8166,106.8719,1.2,190.07,4.25,8.73,11.6,-186.2,107.13,631921,372.52,10494.49,89375,0.633,149941.1,4.7,24.4895,24.6432,3.0349,3.3507,1128.8082,2.5004,2.5262,2.3702,2.3429,34.8995,3.9131,3.8643,0.3976,19.9078,3.1585,1.826,2.1341,34.1524,3.1006,2.3261,1.2352,23.649,2.8041,1.6404,0.966,23.1987,2.9819,2.446,1.2808,2.5044,23.025
7283,2022-03-10,152255.2213,5138178,3.42,24.6,6.813,6.394,6.039,5.861,4.87,4.0,7.1349,378727,76.3075,215.22,744.71,98.507,4.52,5.89,19.5898,17.1464,20.2714,17.0596,107.0934,1.2,190.07,4.25,8.73,11.6,-186.2,107.13,631921,372.52,10494.49,89375,0.633,149941.1,4.7,24.8478,25.0114,3.0793,3.4008,1128.8082,2.5374,2.5644,2.4061,2.3775,35.5154,3.9822,3.9353,0.3907,20.1762,3.2007,1.8503,2.1059,34.5017,3.1336,2.3509,1.2222,23.8991,2.8337,1.6577,0.9632,23.5682,3.0294,2.4854,1.2607,2.5432,23.3764
7284,2022-03-11,150598.4688,5115636,3.37,24.32,6.862,6.43,6.08,5.918,4.861,4.0,7.1799,378727,76.5938,808.15,-1319.29,99.124,4.56,5.98,19.6173,17.1706,20.3334,17.0842,107.2693,1.2,190.07,4.25,8.95,10.62,-186.2,107.13,622275,372.52,10494.49,89375,0.633,149941.1,4.7,24.9226,25.0858,3.0899,3.4124,1128.8082,2.545,2.5721,2.4133,2.3848,35.5623,3.9875,3.9406,0.3902,20.2026,3.2076,1.8527,2.1085,34.659,3.1476,2.3614,1.234,24.0957,2.857,1.6714,0.9554,23.6154,3.037,2.4904,1.2575,2.5472,23.413
7285,2022-03-12,150598.4688,5115636,3.37,24.32,6.862,6.43,6.08,5.918,4.861,4.0,7.1799,378727,76.5938,808.15,-1319.29,99.124,4.56,5.98,19.6195,17.1717,20.3331,17.0853,107.2693,1.2,190.07,4.25,8.95,10.62,-186.2,107.13,622275,372.52,10494.49,89375,0.633,149941.1,4.7,24.9203,25.0832,3.0899,3.4124,1128.8082,2.5434,2.5705,2.4119,2.3833,35.5623,3.9875,3.9406,0.3902,20.2026,3.2076,1.8527,2.1085,34.6643,3.1476,2.3615,1.234,24.0984,2.857,1.6714,0.9554,23.6124,3.037,2.4886,1.2575,2.5458,23.4147
7286,2022-03-13,150598.4688,5115636,3.37,24.32,6.862,6.43,6.08,5.918,4.861,4.0,7.1799,378727,76.5938,808.15,-1319.29,99.124,4.56,5.98,19.6196,17.1721,20.3577,17.0856,107.2693,1.2,190.07,4.25,8.95,10.62,-186.2,107.13,622275,372.52,10494.49,89375,0.633,149941.1,4.7,24.9677,25.1317,3.0899,3.4124,1128.8082,2.5421,2.5691,2.4107,2.3822,35.5623,3.9875,3.9406,0.3902,20.2026,3.2076,1.8527,2.1085,34.7319,3.1476,2.3617,1.234,24.8446,2.857,1.662,0.9554,23.6124,3.037,2.4886,1.2575,2.5458,23.4148
